Unnamed: 0,interview__key,interview__id,shocks__id,v31102b,typeshock,typeshocknum,shockdisinv,savusedshock,insusedshock,pubtransusedshock,borrusedshock,shocks_Group
31,88-18-68-16,00805a067da44a2f910cb5d1930bbc88,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,0.0,0.0,0.0,1.0,0,agricultural
32,35-47-86-69,2bd39547af314bb39130e034a1c7fc8d,Strong increase of prices for Input,1,Strong increase of prices for Input,22.0,0.0,1.0,0.0,0.0,0,agricultural
33,96-51-69-66,30c9daf11587468cb38282da8b2c1161,House damage,1,House damage,6.0,0.0,1.0,0.0,0.0,1,economics
34,81-64-04-01,a555d8b87f634037b6d6aebd85c9d5f3,Household member left the household,1,การย้ายออกของสมาชิกในครัวเรือน,3.0,,,,,0,others
35,81-64-04-01,a555d8b87f634037b6d6aebd85c9d5f3,Job loss,1,ตกงาน,62.0,,,,,0,economics
36,81-64-04-01,a555d8b87f634037b6d6aebd85c9d5f3,Flooding on the house/homestead,1,น้ำท่วมครัวเรือน/ที่อยู่อาศัย,77.0,0.0,0.0,0.0,0.0,1,economics
37,89-35-82-85,24735f567de2404cb7c6c8a8422fc1fe,Storm,1,พายุ,55.0,,,,,0,agricultural
38,55-65-57-25,c53ad87616804691916c53acb7bd28be,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,0.0,0.0,1.0,0,agricultural
39,55-65-57-25,c53ad87616804691916c53acb7bd28be,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,0.0,0.0,0.0,0.0,0,agricultural
40,82-16-55-36,8480800b58aa490489d19e8519fe2853,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,0.0,0.0,1.0,0,agricultural
41,82-16-55-36,8480800b58aa490489d19e8519fe2853,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,,,,,0,agricultural
42,82-16-55-36,8480800b58aa490489d19e8519fe2853,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,0.0,1.0,0.0,0.0,0,agricultural
43,24-84-27-10,269c5b9e0fd4466e974d57242b9f4fef,Job loss,1,Job loss,62.0,0.0,0.0,0.0,0.0,0,economics
44,67-64-40-87,594501512431407bab0651ad617632b4,Illness of household member,2,Illness of household member,1.0,0.0,1.0,1.0,0.0,0,demographic
45,67-64-40-87,594501512431407bab0651ad617632b4,Flooding of agricultural land,2,Flooding of agricultural land,10.0,0.0,0.0,0.0,2.0,0,agricultural
46,67-64-40-87,594501512431407bab0651ad617632b4,Drought,1,Drought,11.0,0.0,0.0,0.0,0.0,0,agricultural
47,67-64-40-87,594501512431407bab0651ad617632b4,Storm,1,Storm,55.0,0.0,0.0,0.0,1.0,0,agricultural
48,67-64-40-87,594501512431407bab0651ad617632b4,Pests and Livestock diseases,2,Pests and Livestock diseases,63.0,0.0,0.0,0.0,2.0,0,agricultural
49,02-19-42-08,69eb414d6d0042ed9cf5b34f74c716ef,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
50,02-19-42-08,69eb414d6d0042ed9cf5b34f74c716ef,Drought,1,ภัยแล้ง,11.0,0.0,0.0,0.0,0.0,1,agricultural
51,02-19-42-08,69eb414d6d0042ed9cf5b34f74c716ef,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
52,26-09-68-30,32983090c12844adade49307dbc9c88b,Drought,1,ภัยแล้ง,11.0,,,,,0,agricultural
53,26-09-68-30,32983090c12844adade49307dbc9c88b,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
54,26-09-68-30,32983090c12844adade49307dbc9c88b,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,,,,,0,agricultural
55,26-09-68-30,32983090c12844adade49307dbc9c88b,being cheated at work/business,1,ถูกโกง (จากการทำงาน/ธุรกิจ),46.0,,,,,0,others
56,81-59-08-80,de115f4b9e294617b163a6d9184de480,Illness of household member,1,การเจ็บป่วยของสมาชิกในครัวเรือน,1.0,0.0,0.0,0.0,0.0,0,demographic
57,81-59-08-80,de115f4b9e294617b163a6d9184de480,Strong decrease of prices for Output,2,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,0.0,0.0,0.0,0,agricultural
58,16-66-35-33,3f50076a495b4f50a5457c4202fd742f,Flooding of agricultural land,1,Flooding of agricultural land,10.0,0.0,0.0,0.0,0.0,1,agricultural
59,16-66-35-33,3f50076a495b4f50a5457c4202fd742f,Drought,1,Drought,11.0,,,,,0,agricultural
60,35-03-41-81,b958b7c11de342f4a6cc2d1e70fff9ea,Strong increase of prices for Input,1,Strong increase of prices for Input,22.0,,,,,0,agricultural
61,58-95-27-21,4437027277bf4f39b6bb825fafbb4d83,Had to spent money because of ceremony,1,ต้องจ่ายเงิน (จำนวนมาก) ในการจัดพิธีต่าง ๆในครัวเรือน,5.0,0.0,0.0,0.0,0.0,1,social
62,58-95-27-21,4437027277bf4f39b6bb825fafbb4d83,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,,,,,0,agricultural
63,81-31-44-75,358d87e86bac4c13b2581282d13be272,Drought,1,ภัยแล้ง,11.0,0.0,0.0,0.0,1.0,0,agricultural
64,81-31-44-75,358d87e86bac4c13b2581282d13be272,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,0.0,0.0,1.0,0,agricultural
65,81-31-44-75,358d87e86bac4c13b2581282d13be272,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,,,,,0,agricultural
66,81-31-44-75,358d87e86bac4c13b2581282d13be272,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,,,,,0,agricultural
67,63-60-24-38,fa7ca444b5d645c8b1a4252b12efde2d,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
68,63-60-24-38,fa7ca444b5d645c8b1a4252b12efde2d,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,,,,,0,agricultural
69,63-60-24-38,fa7ca444b5d645c8b1a4252b12efde2d,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,0.0,1.0,0.0,0.0,0,agricultural
70,70-54-99-25,fe4e7208ac1b4058852243660b639cc5,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,0.0,1.0,0.0,1.0,0,agricultural
71,70-54-99-25,fe4e7208ac1b4058852243660b639cc5,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,0.0,0.0,1.0,0,agricultural
72,70-54-99-25,fe4e7208ac1b4058852243660b639cc5,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,0.0,1.0,0.0,0.0,0,agricultural
73,70-54-99-25,fe4e7208ac1b4058852243660b639cc5,Storm,1,พายุ,55.0,0.0,1.0,0.0,0.0,0,agricultural
74,55-72-29-45,710b673f57ae4c82a0551fdac751c292,Drought,1,ภัยแล้ง,11.0,,,,,0,agricultural
75,55-72-29-45,710b673f57ae4c82a0551fdac751c292,Strong decrease of prices for Output,2,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,0.0,0.0,2.0,0,agricultural
76,55-72-29-45,710b673f57ae4c82a0551fdac751c292,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,,,,,0,agricultural
77,94-06-48-65,70f8f1df234d45b6a910de15525b68f7,Flooding of agricultural land,1,Flooding of agricultural land,10.0,0.0,0.0,0.0,1.0,0,agricultural
78,94-06-48-65,70f8f1df234d45b6a910de15525b68f7,Drought,1,Drought,11.0,0.0,0.0,0.0,1.0,0,agricultural
79,99-47-69-76,5f34fdf8afa741aabbbb6eaee57fed8b,Job loss,1,Job loss,62.0,,,,,0,economics
80,60-13-61-29,26fc74660e624dc19095587d4ad5e639,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
81,60-13-61-29,26fc74660e624dc19095587d4ad5e639,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,,,,,0,agricultural
82,06-74-61-59,00b6f147422a47d6a8ceef9a7970f928,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
83,06-74-61-59,00b6f147422a47d6a8ceef9a7970f928,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,,,,,0,agricultural
84,57-01-85-50,1e76247a81fb47018d7101b61af1f574,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,1.0,0.0,0.0,0,agricultural
85,57-01-85-50,1e76247a81fb47018d7101b61af1f574,Strong increase of prices for Input,2,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,0.0,2.0,0.0,0.0,0,agricultural
86,57-01-85-50,1e76247a81fb47018d7101b61af1f574,Storm,1,พายุ,55.0,0.0,1.0,0.0,1.0,0,agricultural
87,78-49-46-86,71e5a135e5e843dead5f9aa43100cc58,Drought,1,Drought,11.0,,,,,0,agricultural
88,35-43-61-77,da54b16e5cb44ba5944e0bd22295a8a7,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,,,,,0,agricultural
89,25-76-95-01,a09fc8cacade4067bdcc3211dd329d64,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
90,36-07-02-73,bd44259c3e3044e5996cc3b647147dd2,"Other, specify",1,"Other, specify",90.0,0.0,0.0,0.0,0.0,1,others
91,56-73-93-43,86048f1ef53144d687bc43900ed63494,Drought,1,Drought,11.0,,,,,0,agricultural
92,79-68-49-09,e0d6f904a6854f11a01a4f70e78aa7ce,Drought,1,Drought,11.0,,,,,0,agricultural
93,91-72-93-11,8c79c6f54ec4426ba779fb8ef140c149,Drought,1,Drought,11.0,0.0,0.0,0.0,0.0,0,agricultural
94,14-58-06-53,3c452c89731247e7a2b1694f41651f3e,House damage,1,House damage,6.0,,,,,0,economics
95,14-58-06-53,3c452c89731247e7a2b1694f41651f3e,Storm,1,Storm,55.0,,,,,0,agricultural
96,13-79-05-92,55623aa7121c4626aba5b170037369f3,Drought,1,ภัยแล้ง,11.0,,,,,0,agricultural
97,13-79-05-92,55623aa7121c4626aba5b170037369f3,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,,,,,0,agricultural
98,76-76-74-21,cb9bcede27f14b3892b27e550e6c528a,Drought,1,ภัยแล้ง,11.0,,,,,0,agricultural
99,76-76-74-21,cb9bcede27f14b3892b27e550e6c528a,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
100,38-45-14-05,e54f2cb2cf74473aae6bb5c15addcf83,Flooding of agricultural land,1,Flooding of agricultural land,10.0,,,,,0,agricultural
101,38-45-14-05,e54f2cb2cf74473aae6bb5c15addcf83,Accident,1,Accident,24.0,,,,,0,demographic
102,90-29-08-73,664954f439964012b4662b836f822fc1,Drought,1,Drought,11.0,0.0,0.0,0.0,0.0,1,agricultural
103,05-74-28-37,53434b7d32334881b66d9e4961fc25e5,Strong increase of prices for Input,1,Strong increase of prices for Input,22.0,0.0,1.0,0.0,0.0,0,agricultural
104,17-60-96-23,7a418a13bf6e426593d264d32cffacb0,Drought,1,Drought,11.0,,,,,0,agricultural
105,75-21-28-14,acbf8f05ab0442ee9fc58428fc6ff1b0,Drought,1,ภัยแล้ง,11.0,,,,,0,agricultural
106,46-27-03-65,df08e8c2ce864082bd55bb91c7a00088,Household member left the household,1,การย้ายออกของสมาชิกในครัวเรือน,3.0,,,,,0,others
107,46-27-03-65,df08e8c2ce864082bd55bb91c7a00088,Drought,1,ภัยแล้ง,11.0,,,,,0,agricultural
108,72-64-82-33,a18f6767933040ab9f8a883a5d971165,Accident,1,อุบัติเหตุ,24.0,0.0,0.0,0.0,1.0,0,demographic
109,70-49-25-91,a3c9b6d80f884c00bcfa2dca9009d7ab,Drought,1,Drought,11.0,,,,,0,agricultural
110,70-49-25-91,a3c9b6d80f884c00bcfa2dca9009d7ab,Strong decrease of prices for Output,1,Strong decrease of prices for Output,21.0,,,,,0,agricultural
111,70-49-25-91,a3c9b6d80f884c00bcfa2dca9009d7ab,Storm,1,Storm,55.0,,,,,0,agricultural
112,70-49-25-91,a3c9b6d80f884c00bcfa2dca9009d7ab,Pests and Livestock diseases,1,Pests and Livestock diseases,63.0,,,,,0,agricultural
113,37-19-45-56,8567fc9a8539408db0499fc318c787a4,Illness of household member,1,การเจ็บป่วยของสมาชิกในครัวเรือน,1.0,,,,,0,demographic
114,37-19-45-56,8567fc9a8539408db0499fc318c787a4,Storm,1,พายุ,55.0,,,,,0,agricultural
115,49-81-12-55,c7256d92371047bbac34dcb18e833fcb,Strong decrease of prices for Output,1,Strong decrease of prices for Output,21.0,0.0,0.0,0.0,1.0,0,agricultural
116,64-26-43-75,e0753ec9dea94253acaddc2c05767a34,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
117,64-26-43-75,e0753ec9dea94253acaddc2c05767a34,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,0.0,0.0,0.0,0,agricultural
118,51-17-62-94,49a94405a6694dc482307f29fd2a08c7,Storm,1,Storm,55.0,0.0,1.0,0.0,0.0,0,agricultural
119,12-21-29-23,3d65382392dd425dab0248db386719db,Storm,1,Storm,55.0,,,,,0,agricultural
120,27-25-58-35,1cd7a6e85ca34af2b8b244a3888cc682,Pests and Livestock diseases,1,Pests and Livestock diseases,63.0,,,,,0,agricultural
121,97-21-65-11,cf98a63e93004f0cb6094b735155314c,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,,,,,0,agricultural
122,72-32-98-54,b2183e86a3c7499fb51736c41bd73403,Illness of household member,1,การเจ็บป่วยของสมาชิกในครัวเรือน,1.0,,,,,0,demographic
123,53-83-59-52,a358db268f14494bbea63803bf7fd2d1,Household member left the household,1,Household member left the household,3.0,,,,,0,others
124,53-83-59-52,a358db268f14494bbea63803bf7fd2d1,Pests and Livestock diseases,1,Pests and Livestock diseases,63.0,,,,,0,agricultural
125,53-83-59-52,a358db268f14494bbea63803bf7fd2d1,"victim of crime (theft, robbery, etc.)",1,"victim of crime (theft, robbery, etc.)",70.0,0.0,0.0,0.0,0.0,0,social
126,89-07-25-35,92c7744f1b864c19a553c81b6c4e3342,Drought,1,Drought,11.0,0.0,1.0,0.0,0.0,0,agricultural
127,89-07-25-35,92c7744f1b864c19a553c81b6c4e3342,Pests and Livestock diseases,1,Pests and Livestock diseases,63.0,0.0,1.0,0.0,0.0,0,agricultural
128,11-38-40-16,db0f8deeec6c480b982541d24023d627,Household member left the household,1,การย้ายออกของสมาชิกในครัวเรือน,3.0,,,,,0,others
129,11-38-40-16,db0f8deeec6c480b982541d24023d627,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
130,11-38-40-16,db0f8deeec6c480b982541d24023d627,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,,,,,0,agricultural
131,30-77-06-97,0c8ef0ef9d5c4bccb8e7e49b242689e1,Flooding on the house/homestead,1,Flooding on the house/homestead,77.0,,,,,0,economics
132,71-85-73-85,abd34ff4975c4e1ca0b9b1249928f074,Pests and Livestock diseases,3,Pests and Livestock diseases,63.0,0.0,3.0,0.0,0.0,0,agricultural
133,15-51-18-47,9097d2956d574dca8452c73652de6a11,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
134,87-88-45-68,7062d72d6a664cd0b500b0842215270e,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
135,87-88-45-68,7062d72d6a664cd0b500b0842215270e,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,0.0,0.0,0.0,0.0,0,agricultural
136,25-51-59-74,3d46b0221e4f432c9aec7303e3c679ab,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,0.0,0.0,0.0,1.0,0,agricultural
137,13-39-43-57,7f618364fa1f4f65bce3dbe07f24c01e,being cheated at work/business,2,ถูกโกง (จากการทำงาน/ธุรกิจ),46.0,,,,,0,others
138,20-75-01-46,001a54664c324854975dc131f04b66aa,Flooding of agricultural land,2,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
139,20-75-01-46,001a54664c324854975dc131f04b66aa,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
140,20-75-01-46,001a54664c324854975dc131f04b66aa,Job loss,1,ตกงาน,62.0,,,,,0,economics
141,72-18-68-20,c4fa81824c2f4fa39f30db6810a1379b,Illness of household member,1,Illness of household member,1.0,0.0,1.0,0.0,0.0,1,demographic
142,72-18-68-20,c4fa81824c2f4fa39f30db6810a1379b,Flooding of agricultural land,2,Flooding of agricultural land,10.0,0.0,0.0,0.0,2.0,0,agricultural
143,72-18-68-20,c4fa81824c2f4fa39f30db6810a1379b,Pests and Livestock diseases,1,Pests and Livestock diseases,63.0,0.0,0.0,0.0,1.0,0,agricultural
144,40-12-06-63,9c5d54c6f6d94bb5bb986723f4773b23,Illness of household member,1,การเจ็บป่วยของสมาชิกในครัวเรือน,1.0,,,,,0,demographic
145,40-12-06-63,9c5d54c6f6d94bb5bb986723f4773b23,Death of household member,1,การเสียชีวิตของสมาชิกในครัวเรือน,2.0,,,,,0,demographic
146,40-12-06-63,9c5d54c6f6d94bb5bb986723f4773b23,Household member left the household,1,การย้ายออกของสมาชิกในครัวเรือน,3.0,,,,,0,others
147,40-12-06-63,9c5d54c6f6d94bb5bb986723f4773b23,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,0.0,0.0,0.0,1.0,0,agricultural
148,55-22-26-03,972c6bc82a724fe1a14158fb96be5459,Had to spent money because of ceremony,1,Had to spent money because of ceremony,5.0,0.0,0.0,0.0,0.0,1,social
149,55-22-26-03,972c6bc82a724fe1a14158fb96be5459,House damage,1,House damage,6.0,0.0,1.0,0.0,0.0,0,economics
150,07-25-53-02,2aec2d9bc9254ffc81e7217888c9d70b,Drought,1,Drought,11.0,,,,,0,agricultural
151,07-25-53-02,2aec2d9bc9254ffc81e7217888c9d70b,Strong decrease of prices for Output,1,Strong decrease of prices for Output,21.0,,,,,0,agricultural
152,07-25-53-02,2aec2d9bc9254ffc81e7217888c9d70b,Strong increase of prices for Input,1,Strong increase of prices for Input,22.0,,,,,0,agricultural
153,52-11-16-77,9fa3002d1dc6403c998de7b5457bb366,Flooding of agricultural land,1,Flooding of agricultural land,10.0,0.0,0.0,0.0,1.0,0,agricultural
154,52-11-16-77,9fa3002d1dc6403c998de7b5457bb366,Drought,1,Drought,11.0,,,,,0,agricultural
155,52-11-16-77,9fa3002d1dc6403c998de7b5457bb366,Strong decrease of prices for Output,1,Strong decrease of prices for Output,21.0,,,,,0,agricultural
156,33-77-40-15,a4729017e16448499a6005c1f4c1921b,Drought,1,Drought,11.0,0.0,0.0,0.0,1.0,0,agricultural
157,44-78-35-15,d28a9659a4364b6ba539b7ac662a62a9,Flooding of agricultural land,3,น้ำท่วมที่ดินทางการเกษตร,10.0,0.0,0.0,0.0,3.0,0,agricultural
158,55-74-77-74,262fe619b72b42549bbc45e678320892,Drought,1,Drought,11.0,,,,,0,agricultural
159,71-85-13-04,2c4255b3dfdc4925b610439c8620abfb,Drought,1,ภัยแล้ง,11.0,,,,,0,agricultural
160,05-61-48-06,3efd4c2b90b84ed7844fb4426a1be884,Flooding of agricultural land,1,Flooding of agricultural land,10.0,0.0,0.0,0.0,1.0,0,agricultural
161,26-56-77-57,3a9eb1f2e1d548b38cd1ee03ec8df46a,Flooding of agricultural land,2,น้ำท่วมที่ดินทางการเกษตร,10.0,0.0,0.0,0.0,2.0,0,agricultural
162,85-78-32-94,d457be594ac84238bb74b7ed89815988,Illness of household member,1,Illness of household member,1.0,0.0,1.0,0.0,0.0,0,demographic
163,85-78-32-94,d457be594ac84238bb74b7ed89815988,Drought,1,Drought,11.0,0.0,1.0,0.0,0.0,0,agricultural
164,85-78-32-94,d457be594ac84238bb74b7ed89815988,Storm,2,Storm,55.0,0.0,2.0,0.0,0.0,0,agricultural
165,55-63-96-07,f8c199d1bd7744c0bdd5583520cdbea4,Flooding of agricultural land,1,Flooding of agricultural land,10.0,,,,,0,agricultural
166,63-85-48-25,5ace0fb2d81f444ab585e426d060b8b3,Storm,1,Storm,55.0,0.0,1.0,0.0,0.0,1,agricultural
167,30-84-31-86,e3152ab4300345898710466b254fae70,Strong decrease of prices for Output,2,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
168,14-22-66-31,6a81609037dc4beca072fc74c883513b,Illness of household member,1,Illness of household member,1.0,0.0,0.0,0.0,0.0,1,demographic
169,14-22-66-31,6a81609037dc4beca072fc74c883513b,Storm,1,Storm,55.0,,,,,0,agricultural
170,14-22-66-31,6a81609037dc4beca072fc74c883513b,Pests and Livestock diseases,1,Pests and Livestock diseases,63.0,,,,,0,agricultural
171,39-74-27-15,c0071ff64fe54980a098d1c6cee03f90,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,0.0,1.0,0.0,0.0,0,agricultural
172,20-55-73-16,0cb7ebb1dd43400880bb39225d230b55,Job loss,1,ตกงาน,62.0,,,,,0,economics
173,49-33-51-01,8422bf0cac8e4c9db88d11da03a4f901,Death of household member,1,Death of household member,2.0,,,,,0,demographic
174,49-33-51-01,8422bf0cac8e4c9db88d11da03a4f901,Had to spent money because of ceremony,1,Had to spent money because of ceremony,5.0,,,,,0,social
175,29-98-72-66,bb7aa3541a554a48a81d9aae11d1f29a,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
176,29-98-72-66,bb7aa3541a554a48a81d9aae11d1f29a,Job loss,1,ตกงาน,62.0,0.0,0.0,0.0,0.0,1,economics
177,76-46-80-15,00602b69905d4b30a5dfd32185ffdcec,Death of household member,1,Death of household member,2.0,,,,,0,demographic
178,76-46-80-15,00602b69905d4b30a5dfd32185ffdcec,House damage,1,House damage,6.0,,,,,0,economics
179,76-46-80-15,00602b69905d4b30a5dfd32185ffdcec,Accident,1,Accident,24.0,,,,,0,demographic
180,51-64-50-25,bad04ec04fb348c79862ae88a5d18a6b,Drought,1,Drought,11.0,,,,,0,agricultural
181,88-19-48-37,28cc5a6c511543ee80eb6797fffb4508,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
