,interview__key,interview__id,shocks__id,shocks_detail__id,v31102d,v31102a__0,v31102a__1,v31102a__2,v31102a__3,v31102a__4,v31102a__5,v31102a__6,v31102a__7,v31102a__8,v31102a__9,v31102a__10,v31102a__11,v31102a__12,v31102a__13,v31102a__14,v31102a__15,v31102a__16,v31102a__17,v31102a__18,v31102a__19,rowcode_shock,v31103,v31103a,v31103c,v31104,v31105a,v31105b,v31106a,shockmoneyloss,v31107,v31108a__1,v31108a__2,v31108a__3,v31108a__4,v31108a__5,v31108a__6,v31108a__7,v31108__40,v31108__41,v31108__42,v31108__43,v31108__3,v31108__4,v31108__5,v31108__6,v31108__7,v31108__8,v31108__9,v31108__10,v31108__11,v31108__12,v31108__13,v31108__14,v31108__15,v31108__16,v31108__17,v31108__18,v31108__19,v31108__20,v31108__21,v31108__22,v31108__23,v31108__24,v31108__25,v31108__26,v31108__27,v31108__28,v31108__29,v31108__30,v31108__31,v31108__48,v31108__49,v31108__50,v31108__51,v31108__52,v31108__53,v31108__54,v31108__55,v31108__62,v31108__63,v31108__90,v31108__98,specify_v31108,v31111,v31112a,shockdate,corryear,v31127__0,v31127__1,v31127__2,v31127__3,v31127__4,v31127__5,v31127__98,specify_v31127
17,93-68-65-70,a7cefbd100ca468ba67ef9335e95f340,11,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,July,60,Medium,6000.0,500.0,none,6500.0,most HH in village / commune,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,30.0,2021-07-01T00:00:00,2021.0,1,0,0,0,0,0,0,
18,74-89-00-52,8d02af0d78b044ebaedfe93fa7a3d7d6,1,0,No,2.0,,,,,,,,,,,,,,,,,,,,0.0,2021,July,30,Medium,2000.0,none,none,2000.0,no other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,7.0,2021-07-01T00:00:00,2021.0,1,0,0,0,0,0,0,
19,74-89-00-52,8d02af0d78b044ebaedfe93fa7a3d7d6,10,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,September,5,Medium,8000.0,2000.0,none,10000.0,some other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,5.0,2021-09-01T00:00:00,2021.0,1,0,0,0,0,0,0,
20,68-04-10-71,baaed882cb6b43abaad81fbc02d612c2,1,0,No,1.0,,,,,,,,,,,,,,,,,,,,0.0,Don't know,,2,Low,300.0,none,none,300.0,no other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,7.0,##N/A##,12017.0,1,0,0,0,0,0,0,
21,68-04-10-71,baaed882cb6b43abaad81fbc02d612c2,62,0,No,1.0,,,,,,,,,,,,,,,,,,,,0.0,2021,Don't know,3,Medium,900.0,none,none,900.0,no other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,not yet recovered,##N/A##,2021.0,1,0,0,0,0,0,0,
22,74-26-52-77,7b1b5e90fa6747909eb6195914bf5a2e,55,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2022,March,1,Low,none,1500.0,none,1500.0,some other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1.0,2022-03-01T00:00:00,2022.0,1,0,0,0,0,0,0,
23,70-83-98-10,4a89f2f290a943e68155dc1bca998912,10,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2020,Don't know,30,Medium,10000.0,1000.0,none,11000.0,most HH in village / commune,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,30.0,##N/A##,2020.0,0,0,0,0,1,0,0,
24,70-83-98-10,4a89f2f290a943e68155dc1bca998912,11,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2019,October,30,Medium,12000.0,none,none,12000.0,some other HH,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,20.0,2019-10-01T00:00:00,2019.0,0,0,0,0,1,0,0,
25,70-83-98-10,4a89f2f290a943e68155dc1bca998912,21,0,No,3.0,6.0,,,,,,,,,,,,,,,,,,,0.0,2020,Don't know,Still going on,High,15000.0,3000.0,none,18000.0,most HH in district,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,not yet recovered,##N/A##,2020.0,1,0,0,0,0,0,0,
26,04-13-89-27,e18b581fb1024c61a1632c76aa0558e2,10,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2022,April,7,High,5000.0,none,none,5000.0,some other HH,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,7.0,2022-04-01T00:00:00,2022.0,1,0,0,0,0,0,0,
27,75-29-32-65,d9aea3cacd7246bd878979a81132bc8b,11,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,December,30,High,none,1500.0,1500.0,3000.0,most HH in village / commune,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,30.0,2021-12-01T00:00:00,2021.0,0,0,0,1,1,0,0,
28,40-85-94-16,0981e400e856456fb0a2f274e82952a9,63,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,Don't know,20,Medium,none,4000.0,none,4000.0,most HH in village / commune,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,15.0,##N/A##,2021.0,1,0,0,0,0,0,0,
29,88-18-68-16,00805a067da44a2f910cb5d1930bbc88,10,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2019,September,14,No impact,,,,0.0,most HH in village / commune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-01T00:00:00,2019.0,0,0,0,0,1,0,0,
30,88-18-68-16,00805a067da44a2f910cb5d1930bbc88,21,0,No,1.0,,,,,,,,,,,,,,,,,,,,0.0,2019,December,Still going on,Medium,35000.0,none,none,35000.0,most HH in country,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,not yet recovered,2019-12-01T00:00:00,2019.0,1,0,0,0,0,0,0,
31,88-18-68-16,00805a067da44a2f910cb5d1930bbc88,22,0,No,1.0,,,,,,,,,,,,,,,,,,,,0.0,2020,May,Still going on,Medium,1300.0,none,none,1300.0,most HH in country,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,not yet recovered,2020-05-01T00:00:00,2020.0,1,0,0,0,0,0,0,
32,35-47-86-69,2bd39547af314bb39130e034a1c7fc8d,22,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2022,March,Still going on,Medium,2500.0,none,none,2500.0,no other HH,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,not yet recovered,2022-03-01T00:00:00,2022.0,1,0,0,0,0,0,0,
33,96-51-69-66,30c9daf11587468cb38282da8b2c1161,6,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2022,February,2,Low,none,200.0,150.0,350.0,no other HH,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,2.0,2022-02-01T00:00:00,2022.0,0,0,0,0,1,0,0,
34,81-64-04-01,a555d8b87f634037b6d6aebd85c9d5f3,3,0,No,6.0,,,,,,,,,,,,,,,,,,,,0.0,2020,August,Still going on,No impact,,,,0.0,no other HH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-01T00:00:00,2020.0,1,0,0,0,0,0,0,
35,81-64-04-01,a555d8b87f634037b6d6aebd85c9d5f3,62,0,No,4.0,,,,,,,,,,,,,,,,,,,,0.0,2020,April,Still going on,Medium,none,none,none,0.0,no other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,not yet recovered,2020-04-01T00:00:00,2020.0,1,0,0,0,0,0,0,
36,81-64-04-01,a555d8b87f634037b6d6aebd85c9d5f3,77,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2020,May,7,High,none,none,22000.0,22000.0,some other HH,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,15.0,2020-05-01T00:00:00,2020.0,0,0,0,1,0,0,0,
37,89-35-82-85,24735f567de2404cb7c6c8a8422fc1fe,55,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,June,2,Low,none,500.0,none,500.0,some other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,3.0,2021-06-01T00:00:00,2021.0,1,0,0,0,0,0,0,
38,55-65-57-25,c53ad87616804691916c53acb7bd28be,21,0,No,1.0,,,,,,,,,,,,,,,,,,,,0.0,2021,September,Still going on,High,20000.0,none,none,20000.0,some other HH,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,not yet recovered,2021-09-01T00:00:00,2021.0,0,0,0,1,1,0,0,
39,55-65-57-25,c53ad87616804691916c53acb7bd28be,63,0,No,1.0,,,,,,,,,,,,,,,,,,,,0.0,2021,August,30,High,none,300.0,none,300.0,some other HH,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,หาวิธีรักษาในยูทูป,No,30.0,2021-08-01T00:00:00,2021.0,1,0,0,0,0,0,0,
40,82-16-55-36,8480800b58aa490489d19e8519fe2853,21,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,September,10,Medium,10000.0,none,none,10000.0,most HH in village / commune,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,5.0,2021-09-01T00:00:00,2021.0,1,0,0,0,0,0,0,
41,82-16-55-36,8480800b58aa490489d19e8519fe2853,22,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,August,Still going on,High,5000.0,none,none,5000.0,most HH in village / commune,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,not yet recovered,2021-08-01T00:00:00,2021.0,1,0,0,0,0,0,0,
42,82-16-55-36,8480800b58aa490489d19e8519fe2853,63,0,No,2.0,,,,,,,,,,,,,,,,,,,,0.0,2021,May,30,High,30000.0,2000.0,none,32000.0,most HH in village / commune,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,60.0,2021-05-01T00:00:00,2021.0,1,0,0,0,0,0,0,
43,24-84-27-10,269c5b9e0fd4466e974d57242b9f4fef,62,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2020,January,365,High,91200.0,none,none,91200.0,no other HH,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,365.0,2020-01-01T00:00:00,2020.0,1,0,0,0,0,0,0,
44,67-64-40-87,594501512431407bab0651ad617632b4,1,0,No,1.0,,,,,,,,,,,,,,,,,,,,0.0,2019,June,15,Medium,none,30.0,none,30.0,no other HH,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,60.0,2019-06-01T00:00:00,2019.0,1,0,0,0,0,0,0,
45,67-64-40-87,594501512431407bab0651ad617632b4,1,1,No,3.0,,,,,,,,,,,,,,,,,,,,1.0,2021,February,9,High,none,none,none,0.0,no other HH,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,30.0,2021-02-01T00:00:00,2021.0,1,0,0,0,0,0,0,
46,67-64-40-87,594501512431407bab0651ad617632b4,10,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2020,August,10,Medium,30000.0,none,none,30000.0,some other HH,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,30.0,2020-08-01T00:00:00,2020.0,1,0,0,0,0,0,0,
